time,pitch_deg,yaw_deg,fin_x_deg,fin_y_deg,pitch_error,yaw_error
0.9400000000000006,-6.5987471013443005e-09,1.5687189833164437e-07,0.0,0.0,6.5987471013443005e-09,-1.5687189833164437e-07
0.9500000000000006,-7.59585083402596e-09,1.789450933863293e-07,0.0,0.0,7.59585083402596e-09,-1.789450933863293e-07
0.9600000000000006,-8.589693062763326e-09,2.0047012225186272e-07,0.0,0.0,8.589693062763326e-09,-2.0047012225186272e-07
0.9700000000000006,-9.574877391516777e-09,2.2132650564955313e-07,0.0,0.0,9.574877391516777e-09,-2.2132650564955313e-07
0.9800000000000006,-1.0547925736536049e-08,2.41445723453788e-07,0.0,0.0,1.0547925736536049e-08,-2.41445723453788e-07
0.9900000000000007,-1.150695283746891e-08,2.6080013288188466e-07,0.0,0.0,1.150695283746891e-08,-2.6080013288188466e-07
1.0000000000000007,-1.2451394489496044e-08,2.7939370066972946e-07,0.0,0.0,1.2451394489496044e-08,-2.7939370066972946e-07
1.0100000000000007,-1.3381779113574733e-08,2.972543132411764e-07,0.0,0.0,1.3381779113574733e-08,-2.972543132411764e-07
1.0200000000000007,-1.4299534965959627e-08,3.144274520185141e-07,0.0,0.0,1.4299534965959627e-08,-3.144274520185141e-07
1.0300000000000007,-1.5206827203440578e-08,3.3097104219362546e-07,0.0,0.0,1.5206827203440578e-08,-3.3097104219362546e-07
1.0400000000000007,-1.6106420417468037e-08,3.469513035256252e-07,0.0,0.0,1.6106420417468037e-08,-3.469513035256252e-07
1.0500000000000007,-1.7001563307456193e-08,3.624394505519028e-07,0.0,0.0,1.7001563307456193e-08,-3.624394505519028e-07
1.0600000000000007,-1.7895893208571304e-08,3.775091077612235e-07,0.0,0.0,1.7895893208571304e-08,-3.775091077612235e-07
1.0700000000000007,-1.8793359756391896e-08,3.9223432176872535e-07,0.0,0.0,1.8793359756391896e-08,-3.9223432176872535e-07
1.0800000000000007,-1.9698170568815523e-08,4.0668806758630596e-07,0.0,0.0,1.9698170568815523e-08,-4.0668806758630596e-07
1.0900000000000007,-2.061477146563155e-08,4.209411594433282e-07,0.0,0.0,2.061477146563155e-08,-4.209411594433282e-07
1.1000000000000008,-2.154790005835391e-08,4.3506148720454525e-07,0.0,0.0,2.154790005835391e-08,-4.3506148720454525e-07
1.1100000000000008,-2.250282204853592e-08,4.491135051277363e-07,0.0,0.0,2.250282204853592e-08,-4.491135051277363e-07
1.1200000000000008,-2.348604441791396e-08,4.6315788996146995e-07,0.0,0.0,2.348604441791396e-08,-4.6315788996146995e-07
1.1300000000000008,-2.4507271955083977e-08,4.77251261825409e-07,0.0,0.0,2.4507271955083977e-08,-4.77251261825409e-07
1.1400000000000008,-2.5584524471063796e-08,4.91445774433273e-07,0.0,0.0,2.5584524471063796e-08,-4.91445774433273e-07
1.1500000000000008,-2.675706712205443e-08,5.057881360428003e-07,0.0,0.0,2.675706712205443e-08,-5.057881360428003e-07
1.1600000000000008,-2.811705630169572e-08,5.203170540431352e-07,0.0,0.0,2.811705630169572e-08,-5.203170540431352e-07
1.1700000000000008,-2.9884566543830284e-08,5.350567817676895e-07,0.0,0.0,2.9884566543830284e-08,-5.350567817676895e-07
1.1800000000000008,-3.257979682024969e-08,5.500015463016159e-07,0.0,0.0,3.257979682024969e-08,-5.500015463016159e-07
1.1900000000000008,-3.740539927054244e-08,5.650794981733213e-07,0.0,0.0,3.740539927054244e-08,-5.650794981733213e-07
1.2000000000000008,-4.7066707994987875e-08,5.800723768697978e-07,0.0,0.0,4.7066707994987875e-08,-5.800723768697978e-07
1.2100000000000009,-6.747010124884709e-08,5.944429649985172e-07,0.0,0.0,6.747010124884709e-08,-5.944429649985172e-07
1.2200000000000009,-1.1111245190389716e-07,6.06977898431246e-07,0.0,0.0,1.1111245190389716e-07,-6.06977898431246e-07
1.2300000000000009,-2.035904361513407e-07,6.150756099631804e-07,0.0,0.0,2.035904361513407e-07,-6.150756099631804e-07
1.2400000000000009,-3.956069270026056e-07,6.133812989028604e-07,0.0,0.0,3.956069270026056e-07,-6.133812989028604e-07
1.2500000000000009,-7.841907366091305e-07,5.912752022659488e-07,0.0,0.0,7.841907366091305e-07,-5.912752022659488e-07
1.260000000000001,-1.5485251978807297e-06,5.284470032116389e-07,0.0,0.0,1.5485251978807297e-06,-5.284470032116389e-07
