t,alt,pos_x,pos_z,vel_m,accel,pitch,yaw,thrust,fin_x,fin_y,recov_d
0.0,-0.0003159637684233009,0.0,0.0,0.04573802079583448,-9.81,0.0,0.0,0.0,-0.63026,0.0,False
0.01,-0.0005655974077957945,0.0,0.0,0.009580458972255922,0.6628660863796947,0.0,0.0,11.850666666666667,-0.055362179168702175,0.0,False
0.02,7.724041752496752e-05,0.0,0.0,0.12907181020091776,8.924253590778102,0.0,0.0,21.19364705882353,-0.05576609746365999,0.0,False
0.03,0.0022176459975665214,0.0,0.0,0.30910603846904583,14.975076056192362,0.0,0.0,28.028941176470585,-0.056026032358122375,0.0,False
0.04,0.006461437538975476,0.0,0.0,0.5494111405624148,21.033115653185344,0.0,0.0,34.86423529411765,-0.056285967252584765,0.0,False
0.05,0.01336592039449779,0.0,0.0,0.8380834679230366,26.888417603952483,0.0,0.0,41.460425,-0.05654590214704715,0.0,False
0.060000000000000005,0.023355189700306558,0.0,0.0,1.1663809196204278,30.847240032581066,0.0,0.0,45.904675,-0.05680583704150953,0.0,False
0.07,0.03682588267772205,0.0,0.0,1.534381818957917,34.81355586164323,0.0,0.0,50.348925,-0.05706577193597192,0.0,False
0.08,0.054175453490501714,0.0,0.0,1.941687290852618,38.788041718816245,0.0,0.0,54.793175,-0.0573257068304343,0.0,False
0.09,0.07573444948139078,0.0,0.0,2.371920283987311,42.48097142957769,0.0,0.0,58.91034285714286,-0.057585641724896684,0.0,False
0.09999999999999999,0.10165006382949565,0.0,0.0,2.8130146851444717,43.56599742754126,0.0,0.0,60.083771428571424,-0.057845576619359074,0.0,False
0.10999999999999999,0.13203102270770853,0.0,0.0,3.264992953289578,44.6532571348392,0.0,0.0,61.2572,-0.058105511513821456,0.0,False
0.11999999999999998,0.1669856061096399,0.0,0.0,3.7275417228930015,45.74277481064987,0.0,0.0,62.43062857142857,-0.05836544640828384,0.0,False
0.12999999999999998,0.20661156034718697,0.0,0.0,4.199135756695975,46.71356124804848,0.0,0.0,63.46825,-0.05862538130274623,0.0,False
0.13999999999999999,0.25099808342097707,0.0,0.0,4.67914454322478,47.605540497106205,0.0,0.0,64.41533333333334,-0.05888531619720861,0.0,False
0.15,0.3001882708503363,0.0,0.0,5.157811607536224,48.19090941521516,0.0,0.0,65.01694285714287,-0.05914525109167099,0.0,False
0.16,0.3541326495247644,0.0,0.0,5.629978874223786,47.54210835236095,0.0,0.0,64.23665714285714,-0.05940518598613338,0.0,False
0.17,0.41276610458702706,0.0,0.0,6.095623033067396,46.890956481014236,0.0,0.0,63.45637142857143,-0.059665120880595765,0.0,False
0.18000000000000002,0.4760336439918662,0.0,0.0,6.558604761263491,46.23749338860923,0.0,0.0,62.67608571428571,-0.05992505577505815,0.0,False
0.19000000000000003,0.5439681476696286,0.0,0.0,7.029794801834221,46.66949946765083,0.0,0.0,63.10972881355932,-0.06018499066952053,0.0,False
0.20000000000000004,0.6166595453522565,0.0,0.0,7.5099864432533305,47.56879599603974,0.0,0.0,64.06362711864406,-0.06044492556398292,0.0,False
0.21000000000000005,0.6941979396262438,0.0,0.0,7.999197015651191,48.46982113453847,0.0,0.0,65.01752542372881,-0.0607048604584453,0.0,False
0.22000000000000006,0.7766736068063299,0.0,0.0,8.497443933653424,49.37258360015029,0.0,0.0,65.97142372881356,-0.060964795352907684,0.0,False
0.23000000000000007,0.8641769977535652,0.0,0.0,9.00474469099402,50.277091573994134,0.0,0.0,66.92532203389831,-0.061224730247370074,0.0,False
0.24000000000000007,0.9567767207064706,0.0,0.0,9.513775817986717,51.18335269567719,0.0,0.0,67.87922033898305,-0.061484665141832456,0.0,False
0.25000000000000006,1.054409293834708,0.0,0.0,10.010574336232146,50.3288501884609,0.0,0.0,66.87751999999999,-0.06174460003629484,0.0,False
0.26000000000000006,1.1569448499078119,0.0,0.0,10.494365649068435,49.030167344461134,0.0,0.0,65.38691999999999,-0.06200453493075722,0.0,False
0.2700000000000001,1.2642531162003308,0.0,0.0,10.965109828691542,47.72742976632522,0.0,0.0,63.89631999999998,-0.06226446982521961,0.0,False
0.2800000000000001,1.3762034268999308,0.0,0.0,11.422768185220635,46.42076133477299,0.0,0.0,62.40571999999998,-0.062524404719682,0.0,False
0.2900000000000001,1.4926810540202715,0.0,0.0,11.872743890690726,45.11028574557069,0.0,0.0,60.91511999999998,-0.06278433961414438,0.0,False
0.3000000000000001,1.6136682717719066,2.220427749640515e-06,0.000184844208018415,12.325284564196126,45.1023085502791,0.0,0.0,60.86720689655173,-0.06304427450860677,0.0,False
0.3100000000000001,1.7391956115902445,1.1249993191390443e-05,0.0009258358438342838,12.781207543439283,45.4012049936679,0.0,0.0,61.179965517241385,-0.06330542846744801,0.0,False
0.3200000000000001,1.8692899351574164,2.738750454767772e-05,0.0022257262192776424,13.238980120236581,45.71933237435126,0.0,0.0,61.49272413793104,-0.06356927533150064,0.0,False
0.3300000000000001,2.0039545787125936,5.093602397634498e-05,0.004084908828555843,13.696471447068049,45.70325827224178,0.0,0.0,61.43715957446808,-0.0638337613215171,0.0,False
0.34000000000000014,2.143184154080815,8.220192423100039e-05,0.0065029046352207956,14.153593500343717,45.64937652442735,0.0,0.0,61.34067021276596,-0.06409892890257422,0.0,False
0.35000000000000014,2.2869732030144214,0.00012149468131264654,0.009479230785425187,14.610322577094264,45.59479405086385,0.0,0.0,61.24418085106383,-0.06436482082741425,0.0,False
0.36000000000000015,2.4353161971900263,0.0001691267868487389,0.013013400887408356,15.06663702669555,45.539510815052616,0.0,0.0,61.1476914893617,-0.06463148107459918,0.0,False
0.37000000000000016,2.5882075382108085,0.00022541366456591049,0.01710492530366412,15.522516946941165,45.48352684023756,0.0,0.0,61.05120212765957,-0.06489895500445282,0.0,False
0.38000000000000017,2.745641557614397,0.0002906735904627394,0.02175331145567248,15.977943932742004,45.426842205547025,0.0,0.0,60.954712765957446,-0.06516728937357093,0.0,False
0.3900000000000002,2.9076125168860236,0.0003652276163912686,0.026958064141037408,16.43290086715496,45.36945704272742,0.0,0.0,60.85822340425531,-0.06543653234938743,0.0,False
0.4000000000000002,3.0741146074766603,0.0004493994967815267,0.03271868586289847,16.887371746678806,45.31137153335684,0.0,0.0,60.761734042553186,-0.06570673352491746,0.0,False
0.4100000000000002,3.245141950825903,0.0005435156182669729,0.03903467717150535,17.34125513509158,45.25258590645046,0.0,0.0,60.66524468085106,-0.06597794393368828,0.0,False
0.4200000000000002,3.4206834281331444,0.0006479048377287628,0.045905017851157526,17.793671932862434,45.14141697630808,0.0,0.0,60.51227522935779,-0.0662502160648701,0.0,False
0.4300000000000002,3.6007226667403662,0.0007628980323677605,0.053328165681035,18.24451972225462,44.97768997968363,0.0,0.0,60.30282568807339,-0.06652360371935248,0.0,False
0.4400000000000002,3.7852432016134507,0.0008888279210734995,0.061302574920671864,18.693783148112384,44.813039227572695,0.0,0.0,60.093376146788984,-0.06679816150768184,0.0,False
0.45000000000000023,3.9742284758363327,0.0010260289804090356,0.06982669670011032,19.141447521980925,44.647469651182796,0.0,0.0,59.883926605504584,-0.06707394523221819,0.0,False
0.46000000000000024,4.167661841109866,0.0011748373637133036,0.07889897941773466,19.587498748306626,44.48098623929606,0.0,0.0,59.67447706422018,-0.06735101202963517,0.0,False
0.47000000000000025,4.365526558256322,0.0013355908229971565,0.08851786914563917,20.03192326120596,44.31359403699415,0.0,0.0,59.46502752293578,-0.06762942037779637,0.0,False
0.48000000000000026,4.567805797729396,0.0015086286334167174,0.0986818100422768,20.474707970091565,44.14529814444281,0.0,0.0,59.25557798165137,-0.06790923010259825,0.0,False
0.49000000000000027,4.774482640129608,0.0016942915201308192,0.10938924477214224,20.915840212752613,43.976103715726644,0.0,0.0,59.04612844036697,-0.06819050238494281,0.0,False
0.5000000000000002,4.985540076724979,0.0018929215873694381,0.1206386149322494,21.355307714734696,43.80601595772657,0.0,0.0,58.836678899082564,-0.06847329976784858,0.0,False
0.5100000000000002,5.200961009976884,0.0021048622495575963,0.1324283614851685,21.793098554063818,43.63504012903347,0.0,0.0,58.627229357798164,-0.06875768616371174,0.0,False
0.5200000000000002,5.4207280587177245,0.002330458161417523,0.1447569055449673,22.229103029843362,43.46318153889218,0.0,0.0,58.41777981651376,-0.06904372686172724,0.0,False
0.5300000000000002,5.644820625866123,0.0025700550726353143,0.15762235368036073,22.662858033275832,43.255266469991945,0.0,0.0,58.170258064516126,-0.06933148852957728,0.0,False
0.5400000000000003,5.8732154781772365,0.0028239995377735993,0.17102255637539182,23.09431207294195,43.02293330802125,0.0,0.0,57.897354838709674,-0.06962103906331352,0.0,False
0.5500000000000003,6.105889284389471,0.0030926387937475104,0.18495536366313792,23.52345315859842,42.789619979242445,0.0,0.0,57.62445161290322,-0.06991244727273539,0.0,False
0.5600000000000003,6.342818616080357,0.003376320688472763,0.19941862557576182,23.950269573007393,42.55533503756706,0.0,0.0,57.35154838709677,-0.07020578316870342,0.0,False
